Unnamed: 0,image,classes,path
367,image/367.jpeg,bumper_dent,data/image/367.jpeg
589,image/589.jpeg,bumper_scratch,data/image/589.jpeg
831,image/831.jpeg,door_scratch,data/image/831.jpeg
558,image/558.jpeg,door_dent,data/image/558.jpeg
1111,image/1111.jpeg,glass_shatter,data/image/1111.jpeg
883,image/883.jpeg,door_scratch,data/image/883.jpeg
1466,image/1466.jpeg,head_lamp,data/image/1466.jpeg
719,image/719.jpeg,door_dent,data/image/719.jpeg
982,image/982.jpeg,tail_lamp,data/image/982.jpeg
723,image/723.jpeg,tail_lamp,data/image/723.jpeg
527,image/527.jpeg,head_lamp,data/image/527.jpeg
833,image/833.jpeg,door_dent,data/image/833.jpeg
233,image/233.jpeg,door_dent,data/image/233.jpeg
1186,image/1186.jpeg,bumper_dent,data/image/1186.jpeg
360,image/360.jpeg,door_dent,data/image/360.jpeg
449,image/449.jpeg,bumper_dent,data/image/449.jpeg
368,image/368.jpeg,bumper_dent,data/image/368.jpeg
842,image/842.jpeg,glass_shatter,data/image/842.jpeg
459,image/459.jpeg,head_lamp,data/image/459.jpeg
56,image/56.jpeg,bumper_scratch,data/image/56.jpeg
531,image/531.jpeg,bumper_dent,data/image/531.jpeg
573,image/573.jpeg,bumper_scratch,data/image/573.jpeg
110,image/110.jpeg,bumper_dent,data/image/110.jpeg
956,image/956.jpeg,door_scratch,data/image/956.jpeg
513,image/513.jpeg,bumper_dent,data/image/513.jpeg
742,image/742.jpeg,door_dent,data/image/742.jpeg
623,image/623.jpeg,head_lamp,data/image/623.jpeg
1350,image/1350.jpeg,door_dent,data/image/1350.jpeg
1219,image/1219.jpeg,door_dent,data/image/1219.jpeg
1057,image/1057.jpeg,door_dent,data/image/1057.jpeg
1459,image/1459.jpeg,door_dent,data/image/1459.jpeg
487,image/487.jpeg,head_lamp,data/image/487.jpeg
1107,image/1107.jpeg,head_lamp,data/image/1107.jpeg
1221,image/1221.jpeg,head_lamp,data/image/1221.jpeg
158,image/158.jpeg,door_dent,data/image/158.jpeg
1429,image/1429.jpeg,door_dent,data/image/1429.jpeg
634,image/634.jpeg,head_lamp,data/image/634.jpeg
1473,image/1473.jpeg,glass_shatter,data/image/1473.jpeg
14,image/14.jpeg,glass_shatter,data/image/14.jpeg
547,image/547.jpeg,head_lamp,data/image/547.jpeg
484,image/484.jpeg,glass_shatter,data/image/484.jpeg
977,image/977.jpeg,bumper_dent,data/image/977.jpeg
1151,image/1151.jpeg,tail_lamp,data/image/1151.jpeg
307,image/307.jpeg,bumper_dent,data/image/307.jpeg
1292,image/1292.jpeg,head_lamp,data/image/1292.jpeg
87,image/87.jpeg,bumper_dent,data/image/87.jpeg
1261,image/1261.jpeg,head_lamp,data/image/1261.jpeg
64,image/64.jpeg,tail_lamp,data/image/64.jpeg
754,image/754.jpeg,glass_shatter,data/image/754.jpeg
466,image/466.jpeg,glass_shatter,data/image/466.jpeg
1303,image/1303.jpeg,glass_shatter,data/image/1303.jpeg
455,image/455.jpeg,head_lamp,data/image/455.jpeg
203,image/203.jpeg,door_dent,data/image/203.jpeg
88,image/88.jpeg,door_dent,data/image/88.jpeg
551,image/551.jpeg,door_dent,data/image/551.jpeg
1004,image/1004.jpeg,tail_lamp,data/image/1004.jpeg
379,image/379.jpeg,head_lamp,data/image/379.jpeg
569,image/569.jpeg,glass_shatter,data/image/569.jpeg
1244,image/1244.jpeg,door_scratch,data/image/1244.jpeg
745,image/745.jpeg,door_dent,data/image/745.jpeg
888,image/888.jpeg,bumper_dent,data/image/888.jpeg
907,image/907.jpeg,bumper_scratch,data/image/907.jpeg
1352,image/1352.jpeg,door_dent,data/image/1352.jpeg
397,image/397.jpeg,bumper_dent,data/image/397.jpeg
393,image/393.jpeg,bumper_scratch,data/image/393.jpeg
1201,image/1201.jpeg,tail_lamp,data/image/1201.jpeg
837,image/837.jpeg,bumper_dent,data/image/837.jpeg
1213,image/1213.jpeg,door_scratch,data/image/1213.jpeg
966,image/966.jpeg,bumper_dent,data/image/966.jpeg
555,image/555.jpeg,glass_shatter,data/image/555.jpeg
1093,image/1093.jpeg,tail_lamp,data/image/1093.jpeg
1015,image/1015.jpeg,door_dent,data/image/1015.jpeg
1457,image/1457.jpeg,door_scratch,data/image/1457.jpeg
640,image/640.jpeg,door_scratch,data/image/640.jpeg
1136,image/1136.jpeg,tail_lamp,data/image/1136.jpeg
797,image/797.jpeg,head_lamp,data/image/797.jpeg
51,image/51.jpeg,door_scratch,data/image/51.jpeg
1444,image/1444.jpeg,head_lamp,data/image/1444.jpeg
875,image/875.jpeg,bumper_scratch,data/image/875.jpeg
414,image/414.jpeg,bumper_scratch,data/image/414.jpeg
425,image/425.jpeg,glass_shatter,data/image/425.jpeg
1400,image/1400.jpeg,tail_lamp,data/image/1400.jpeg
882,image/882.jpeg,bumper_dent,data/image/882.jpeg
1086,image/1086.jpeg,door_dent,data/image/1086.jpeg
1411,image/1411.jpeg,door_dent,data/image/1411.jpeg
520,image/520.jpeg,glass_shatter,data/image/520.jpeg
1503,image/1503.jpeg,tail_lamp,data/image/1503.jpeg
139,image/139.jpeg,door_scratch,data/image/139.jpeg
1397,image/1397.jpeg,door_dent,data/image/1397.jpeg
1038,image/1038.jpeg,door_scratch,data/image/1038.jpeg
350,image/350.jpeg,glass_shatter,data/image/350.jpeg
1131,image/1131.jpeg,tail_lamp,data/image/1131.jpeg
3,image/3.jpeg,head_lamp,data/image/3.jpeg
823,image/823.jpeg,head_lamp,data/image/823.jpeg
948,image/948.jpeg,bumper_dent,data/image/948.jpeg
1324,image/1324.jpeg,bumper_dent,data/image/1324.jpeg
590,image/590.jpeg,head_lamp,data/image/590.jpeg
1482,image/1482.jpeg,tail_lamp,data/image/1482.jpeg
341,image/341.jpeg,door_scratch,data/image/341.jpeg
953,image/953.jpeg,door_dent,data/image/953.jpeg
795,image/795.jpeg,door_scratch,data/image/795.jpeg
282,image/282.jpeg,head_lamp,data/image/282.jpeg
318,image/318.jpeg,head_lamp,data/image/318.jpeg
813,image/813.jpeg,bumper_scratch,data/image/813.jpeg
1240,image/1240.jpeg,tail_lamp,data/image/1240.jpeg
1166,image/1166.jpeg,bumper_dent,data/image/1166.jpeg
1300,image/1300.jpeg,glass_shatter,data/image/1300.jpeg
869,image/869.jpeg,door_scratch,data/image/869.jpeg
1498,image/1498.jpeg,head_lamp,data/image/1498.jpeg
698,image/698.jpeg,door_dent,data/image/698.jpeg
1283,image/1283.jpeg,tail_lamp,data/image/1283.jpeg
295,image/295.jpeg,bumper_scratch,data/image/295.jpeg
450,image/450.jpeg,door_dent,data/image/450.jpeg
244,image/244.jpeg,bumper_scratch,data/image/244.jpeg
1097,image/1097.jpeg,glass_shatter,data/image/1097.jpeg
1266,image/1266.jpeg,tail_lamp,data/image/1266.jpeg
1327,image/1327.jpeg,door_dent,data/image/1327.jpeg
787,image/787.jpeg,head_lamp,data/image/787.jpeg
1145,image/1145.jpeg,door_scratch,data/image/1145.jpeg
259,image/259.jpeg,door_dent,data/image/259.jpeg
1367,image/1367.jpeg,door_scratch,data/image/1367.jpeg
1481,image/1481.jpeg,door_scratch,data/image/1481.jpeg
375,image/375.jpeg,door_scratch,data/image/375.jpeg
626,image/626.jpeg,glass_shatter,data/image/626.jpeg
693,image/693.jpeg,bumper_dent,data/image/693.jpeg
133,image/133.jpeg,bumper_dent,data/image/133.jpeg
1495,image/1495.jpeg,door_scratch,data/image/1495.jpeg
448,image/448.jpeg,door_dent,data/image/448.jpeg
1340,image/1340.jpeg,bumper_dent,data/image/1340.jpeg
1216,image/1216.jpeg,door_dent,data/image/1216.jpeg
635,image/635.jpeg,door_scratch,data/image/635.jpeg
1445,image/1445.jpeg,tail_lamp,data/image/1445.jpeg
552,image/552.jpeg,head_lamp,data/image/552.jpeg
496,image/496.jpeg,glass_shatter,data/image/496.jpeg
1023,image/1023.jpeg,door_scratch,data/image/1023.jpeg
1339,image/1339.jpeg,bumper_scratch,data/image/1339.jpeg
521,image/521.jpeg,door_scratch,data/image/521.jpeg
844,image/844.jpeg,door_dent,data/image/844.jpeg
704,image/704.jpeg,head_lamp,data/image/704.jpeg
338,image/338.jpeg,door_scratch,data/image/338.jpeg
820,image/820.jpeg,door_dent,data/image/820.jpeg
603,image/603.jpeg,head_lamp,data/image/603.jpeg
1049,image/1049.jpeg,glass_shatter,data/image/1049.jpeg
1373,image/1373.jpeg,bumper_dent,data/image/1373.jpeg
97,image/97.jpeg,head_lamp,data/image/97.jpeg
627,image/627.jpeg,bumper_scratch,data/image/627.jpeg
1002,image/1002.jpeg,bumper_dent,data/image/1002.jpeg
86,image/86.jpeg,bumper_dent,data/image/86.jpeg
895,image/895.jpeg,head_lamp,data/image/895.jpeg
663,image/663.jpeg,glass_shatter,data/image/663.jpeg
1253,image/1253.jpeg,door_dent,data/image/1253.jpeg
526,image/526.jpeg,door_dent,data/image/526.jpeg
1277,image/1277.jpeg,bumper_scratch,data/image/1277.jpeg
12,image/12.jpeg,door_dent,data/image/12.jpeg
687,image/687.jpeg,door_scratch,data/image/687.jpeg
1129,image/1129.jpeg,glass_shatter,data/image/1129.jpeg
